Channel,Grocery (bin),Region,Delicassen,Detergents Paper,Fresh,Frozen,Grocery,Milk,Zero
Offline,7K,Others,1338,2674,12669,214,7561,9656,0
Offline,7K,Others,1776,3293,7057,1762,9568,9810,0
Offline,7K,Others,7844,3516,6353,2405,7684,8808,0
Online,4K,Others,1788,507,13265,6404,4221,1196,0
Offline,7K,Others,5185,1777,22615,3915,7198,5410,0
Offline,4K,Others,1451,1795,9413,666,5126,8259,0
Offline,4K,Others,545,3140,12126,480,6975,3199,0
Offline,7K,Others,2566,3321,7579,1669,9426,4956,0
Online,4K,Others,750,1716,5963,425,6192,3648,0
Offline,18K,Others,2098,7425,6006,1159,18881,11093,0
Offline,11K,Others,1744,5977,3366,4400,12974,5403,0
Offline,4K,Others,497,549,13146,1420,4523,1124,0
Offline,11K,Others,2931,3881,31714,287,11757,12319,0
Offline,14K,Others,602,6707,21217,3095,14982,6208,0
Offline,11K,Others,2168,5058,24653,294,12091,9465,0
Online,4K,Others,412,964,10253,397,3821,1114,0
Offline,11K,Others,1080,4508,1020,134,12121,8816,0
Online,0K,Others,4478,370,5876,839,2933,6157,0
Offline,7K,Others,3181,2767,18601,2205,10099,6327,0
Online,7K,Others,501,2518,7780,669,9464,2495,0
Offline,4K,Others,2124,2259,17546,1066,4602,4519,0
Online,0K,Others,569,375,5567,3383,2010,871,0
Online,4K,Others,4334,2381,31276,9408,4469,1917,0
Offline,21K,Others,16523,4337,26373,5154,22019,36423,0
Offline,11K,Others,5778,4482,22647,2915,13792,9776,0
Offline,7K,Others,57,4003,16165,201,7595,4230,0
Online,0K,Others,833,242,9898,3151,2861,961,0
Online,0K,Others,518,100,14276,485,3045,803,0
Offline,25K,Others,5206,8604,4113,1158,25957,20484,0
Online,0K,Others,823,1107,43088,1200,2609,2100,0
Online,11K,Others,2963,2134,18815,1148,11107,3610,0
Online,0K,Others,985,820,2612,2088,3133,4339,0
Online,0K,Others,405,918,21632,266,2886,1318,0
